Nº Judicial;Nº ALERJ;Apensos;Origem;Ação;Relator;Autor;Réu;Objeto;Mérito;Liminar;Recurso;Procurador;Estagiário;Andamento;Tipo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17102;Ainda Não Recebemos Ofício;;;RECLAMAÇÃO STF;;;;;;;;;Isabela;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5482;9765/17;;STF;ADI;Min. Celso de Mello;"GOVERNADOR DO ESTADO DO RIO DE JANEIRO 
";"ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO 
";Promovida em face da Lei n° 7003, de 11 de maio de 2015, do ERJ, que Dispõe sobre os pontos perdidos  por  infrações de trânsito  anteriores  à   renovação   da Carteira Nacional de Habitação - CNH.;;;;Dr. Fernando;Deborah;09/03/2016 - Distribuição;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0075545-15.2016.8.19.0001;ALERJ não é parte;;TJRJ;MS;;"SINDICATO DOS LOJISTAS DO COMERCIO DO MUNICIPIO DO RIO DE JANEIRO
";"SUPERINTENDENTE DE ARRECADAÇÃO DA SECRETARIA DE ESTADO DE FAZENDA
";LEI 7.176/2015;-;-;-;-;Sergio;08/06/2017 - Recebido os autos da Pge;FISICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0020834-63.2016.8.19.0000;5108/2017;Não;TJRJ - OE;RI; DES. FERNANDO FOCH DE LEMOS ARIGONY DA SILVA;FEDERAÇÃO DAS INDÚSTRIAS DO ESTADO DO RIO DE JANEIRO FIRJAN;" EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO
RÉU ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO DE JANEIRO";"Promovida em face da  LEI N 7267/2016 ART. 1º DO ERJ, que INSTITUI PISOS SALARIAIS NO ÂMBITO DO ESTADO DO RIO DE JANEIRO PARA AS CATEGORIAS PROFISSIONAIS QUE MENCIONA E ESTABELECE OUTRAS PROVIDÊNCIAS. AUTORIA: PODER EXECUTIVO
";Não apreciado;Não apreciado;Não;Dr Sergio;Luiz;09/03/2017: decisão -indefinido / 13/03/2017- Publicação decisão;ELETRÔNICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0020421-50.2016.8.19.0000;Alerj não é parte, porém o Drº Hariman pediu para acompanharmos, pois se trata do SINDICATO dos enfermeiros do RJ.;;;;;;18792;;;;;;Isabela;31/01/2017: Juntada Petição;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0018792-41.2016.8.19.0000;Alerj n é parte;ALERJ não é pate;TJRJ - OE;RI;"DES. CAETANO ERNESTO DA FONSECA COSTA
";"MARCELO RIBEIRO FREIXO e outros
";"EXMO SR GOVERNADOR DO ESTADO DO RIO DE JANEIRO
";"Promovida em face DECRETO Nº 45.628 DO ANO 2016 DO ESTADO DO RIO DE JANEIRO
";-;-;-;-;Sergio;05/09/2017 Conclusão ao relator;ELETRONICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0348417-78.2015.8.19.0001;;;;;;;;;;;;;Isabela;17/10/2016: ALERJ excluida do polo passivo. Desta forma, sendo este arquivado nesta Secretaria. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0054261-48.2016.8.19.0001;ALERJ não é parte;Alerj n é parte;;MS;;"BG E P BRASIL LTDA e outroS
";INSPETOR CHEFE DA INSPETORIA DE FISCALIZAÇÃO ESPECIALIZADA IFE 04 DA SECRETARIA DE ESTADO DE FAZENDA DO RIO DE JANEIRO e outros;"LEI 7182/2015       conceder em definitivo a segurança pleiteada, para, confirmando a
liminar, assegurar o seu direito líquido e certo das Impetrantes (incluindo as suas filiais
localizadas nesse Estado) de NÃO se sujeitarem (a) à incidência da TFPG, afastando, assim, as
inconstitucionais e ilegais disposições da Lei n° 7.182/2015, bem como de suas atuais e
posteriores regulamentações, e (b) ao cumprimento de eventuais obrigações acessórias
estabelecidas pelo Estado do Rio de Janeiro relacionadas à Lei no 7.18212015, afastando-se a
TEXT R10/171197Av111 198811 
,10
9
11 ~
MACHADOMEYER
........................
www.m a a h a 0 o me y e r. to m. br
aplicação de penalidades/sanções de q    ";;;;;Sergio;12/07/2017  - Publicação ata de distribuição;ELETRONICO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0259996-88.2010.8.19.0001;Quem atua são os próprios procuradores da PGE, por isso não existe número Alerj. ;;TJRJ;AC;;;;"Trata-se de ação de cobrança em face de Waldemira Carvalho da Silva, na qual a Alerj requer com base no artigo 876 do código civil ressarcimento de quantia retirada indevidamente da conta bancária de ex servidor e pagamento de custas processuais. 
";;;;;Isabela;27/01/2017: Aguardando manifestação da Ré;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 0018555-04.2016.8.19.0001;Ainda Não Recebemos Ofício;;;;;;;;;;;;Isabela;05/04/2017: Intimação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
